Name,Expertise,Cluster,Cluster_Theme
Kachanon Nirunpong,"High Energy Particle Physics, Education",29,high energy particle physics | education | ultrafast science
Prof. Dr. Somchai Wongwises,"Areas of interest: Fluid Mechanics, Heat Transfer, Thermodynamics, Two-Phase Flow, Thermal System Design",34,fractional calculus | applied mathematics | fluid dynamics
Poom Kumam,"Fixed Point Optimization, Fractional Differential Equations, Differential Game, Image Processing, Computational Fluid Dynamics (",34,fractional calculus | applied mathematics | fluid dynamics
Shabbir H. Gheewala,"Sustainability, life cycle assessment, energy systems, biofuels",24,life cycle assessment | sustainability | energy systems
jaturapitakkul c,cement pozzolan fly ash biomass ash …,27,biomass conversion | cement pozzolan fly ash biomass ash … | energy technology
Sakamon Devahastin,"Food Engineering, Drying, Food Materials Science, Heat and Mass Transfer",9,food engineering | heat and mass transfer | systems biology
Navadol Laosiripojana,"Energy technology, Biomass processing",27,biomass conversion | cement pozzolan fly ash biomass ash … | energy technology
Narongrit Sombatsompop,Polymeric Materials,19,composites | controlled drug release | polymeric materials
George A. Gale,Conservation Ecology,33,conservation ecology | ecology | animal conservation
Weerachart Tangchirapat,"Civil Engineering, Construction Materials, Concrete Technology",10,geotechnical engineering | numerical methods in geomechanics | ground improvement
Debajyoti Pal,"Digital Humanism, Human Computer Interaction, Human Factors Engineering, Information Systems",1,digital humanism | human computer interaction | human factors engineering
Pornkasem Jongpradist,"Numerical methods in Geomechanics, Ground Improvement, Tunneling and underground construction",10,geotechnical engineering | numerical methods in geomechanics | ground improvement
Supachok Tanpichai,"Nanocellulose, composites, processing, chitosan",19,composites | controlled drug release | polymeric materials
"Kerdchoechuen, Orapin","Bioactive compound, flavor, phenolic, biodegradable",25,organic synthesis | bioactive compound | flavor
Surawut Chuangchote,"Nanomaterials, Solar Energy, Photovoltaic, Photocatalysis",6,nanomaterials | organic chemistry | biosensors
Pakorn Kaewtrakulpong,"Machine Vision, Computer Vision, Machine Learning",37,computer vision | image processing | machine learning
Richard Watson Todd,"Applied linguistics, Text linguistics",26,applied linguistics | corpus linguistics | teacher development
Sebastien Bonnet,"Sustainability, Risk assessment, Energy systems, Biofuels",24,life cycle assessment | sustainability | energy systems
Chan La-o-vorakiat,"Ultrafast Science, Energy Materials, Terahertz",29,high energy particle physics | education | ultrafast science
varit srilaong,Postharvest Technology,15,wireless power transfer | induction heating | postharvest technology
Assoc. Prof. Usa Wannasingha Humphries,Atmospheric and Oceanic Modelling,47,climate change | remote sensing | atmospheric and oceanic modelling
Worapot Suntornsuk,Agricultural and Food Processing Waste …,5,wastewater treatment | agricultural and food processing waste … | anaerobic digestion
WUDHICHAI ASSAWINCHAICHOTE,"Control System and Modeling, Fuzzy Control, AI",8,machine learning | artificial intelligence | robotics
Suree Funilkul,"Database, Technology acceptance",39,database | technology acceptance | high performance computing
Jonathan H. Chan,"data science, machine learning, mathematical modeling",13,machine learning | data science | data mining
